title,author,genre,pages,rating,ratings_count,reviews_count,year,publisher,language,description,price
الأيام,Taha Hussein,"Biography, Nonfiction, Literature",520.0,3.65,12159,1236,1927.0,,ar,"كتاب ""الأيام"" أشهر من أن يعرّف، وهو بجانب قيمته الأدبية الرفيعة باعتباره طرازاً فريداً من السير الذاتية لشخصية أدبيه قل أن يجود الزمان بمثلها، وصدق وعذوبة وطلاوة أسلوب، وهى مزايا يكاد يستأثر بها، فإن ",
1919,Ahmed Mourad,"Novels, Fiction, Historical Fiction",446.0,3.67,23842,2911,2014.0,,,سيختطفك أحمد مراد في آلة زمن، ليهبط بك في حقبة تغلي فيها القاهرة بالأحداث.. وثبة زمنية إلى عالم متشابك يمسك المؤلف مقتدرًا بكل مفاتيحه؛ بين سعد زغلول وتعنت البريطانيين، قصة الوفد ومقهى «متاتيا» جماعة ,
لا تسقني وحدي,سعد مكاوي,"Novels, Fiction, Literature",98.0,3.27,537,102,1985.0,,ar,"ماذا سيحدث لو اجتمع السهروردي جنبًا إلى جنب مع ابن الفارض والشيخ الأكبر محيي الدين بن عربي والشيخ العز بن عبد السلام؟ماذا سيقولون عن خبرة الإنسان ومعاناته من أجل الوصول إلى الحقيقة؟ ماذا سيعلّمون ""علا",
قواعد العشق الأربعون: رواية عن جلال الدين الرومي,Elif Shafak,"Fiction, Historical Fiction, Novels",511.0,4.11,209715,23904,2009.0,,ar,تمسك قطعة من الحجر بين أصابعك، ترفعها ثم تلقيها في مياه دافقة. قد لا يكون من السهل رؤية ذلك. إذ ستتشكل مويجة على سطح الماء الذي سقط فيه الحجر، ويتناثر رذاذ الماء، لكن ماء النهر المتدفق يكبحها. هذا كل ,
عبقرية الإمام علي,عباس محمود العقاد,"Religion, Biography, History",144.0,3.87,3233,396,1949.0,ktab INC.,ar,نبذة موقع النيل والفرات:يدور على صفحات هذا الكتاب حديث عن الإمام علي بن أبي طالب، هذا الحديث له صلة بالنفس الإنسانية في كل مناصيها، وفي سيرته ملتقى بالعواطف الجياشة، والأحاسيس المتطلعة إلى الرحمة والإ,1565.33
وحدها شجرة الرمان,Sinan Antoon,"Fiction, Novels, Historical Fiction",280.0,4.0,8477,1705,2010.0,,,تنفتح رواية الكاتب العراقي سنان انطون «وحدها شجرة الرمان» (المؤسسة العربية للدراسات والنشر) بسردية حكائية بسيطة تفاجئك احياناً بانعطافاتها إلى صور حلمية فنتازية، متقطّعة بحسب خطوات السيناريو السينمائي,
صور من حياة الصحابة,عبد الرحمن رأفت الباشا,"Religion, Islam, History",588.0,4.49,3524,322,1974.0,,ar,هذا الكتاب بطبيعته الجديدة التي بين ايدنا جمعت به الكتب السبعة التي سبقت نشرها متضمنة إضافات، وتنفيحات، وصورأً لشخصيات جديدة، تركها المؤلف وتنشر للمرة الأولى... وبذلك احتوى هذا الكتاب على خمس وستين صو,
الأربعون النووية,يحيى بن شرف النووي,"Religion, Islam, Nonfiction",35.0,4.73,2682,164,2005.0,,,"""الأربعين في مباني الإسلام وقواعد الدين""",
ميرامار,Naguib Mahfouz,"Fiction, Egypt, Novels",284.0,3.82,8223,895,1967.0,,ar,فى بنسيون ميرامار بجوار محطة الرمل بالإسكندرية - وفى الستينات بكل صراعاتها الفكرية والسياسية والإجتماعية- تلتقى مجموعة من الشخصيات المتنافرة المتصارعة . وفى المركز من كل ذلك تبدو زهرة الريفية النقية ا,
السقا مات,يوسف السباعي,"Novels, Fiction, Literature",333.0,4.15,4290,494,1952.0,Diwan,ar,حدثت هذه القصة حوالي عام 1921 في حي الحسينية ومازال مسرح حوادثها قائما كما هو، وقد تكون كف السنين بدلت وجهه بالفناء والهدم، والبناء والتنظيم.. إلا أن الكثير من علاماته المميزة مازالت قائمة على حالها ل,699.0
