title,author,genre,pages,rating,ratings_count,reviews_count,year,publisher,language,description,price
The Hunger Games,Suzanne Collins,"Young Adult, Dystopia, Fiction",374.0,4.35,10077406,268647,2008.0,,,"Winning means fame and fortune. Losing means certain death. The Hunger Games have begun. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded",
Catching Jordan,Miranda Kenneally,"Young Adult, Romance, Contemporary",288.0,3.83,64721,3872,2011.0,,,"ONE OF THE BOYSWhat girl doesn't want to be surrounded by gorgeous jocks day in and day out? Jordan Woods isn't just surrounded by hot guys, though-she leads them as the captain and quarterback of her",
The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley,"Romance, Young Adult, Contemporary",256.0,3.84,78310,5995,2012.0,,,"Liam James, boy next door and total douchebag, is my brother’s best friend. I can’t stand him. Well, that’s not strictly true, at night I see a side of him that no one else does. Every night Liam beco",
The Vincent Boys,Abbi Glines,"Romance, Young Adult, New Adult",260.0,3.94,75284,3999,2011.0,,,"Ashton is getting tired of being good, of impressing her parents and playing ideal girlfriend to Sawyer Vincent. Sawyer is perfect, a regular Prince Charming, but when he leaves town for the summer, i",
Catching Fire,Suzanne Collins,"Young Adult, Dystopia, Fiction",391.0,4.36,4236948,157962,2009.0,,,"Sparks are igniting.Flames are spreading.And the Capitol wants revenge. Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously s",
Mockingjay,Suzanne Collins,"Young Adult, Dystopia, Fiction",390.0,4.12,3791002,161673,2010.0,,,"My name is Katniss Everdeen.Why am I not dead?I should be dead.Katniss Everdeen, girl on fire, has survived, even though her home has been destroyed. Gale has escaped. Katniss's family is safe. Peeta ",
Perfect Chemistry,Simone Elkeles,"Romance, Young Adult, Contemporary",368.0,4.04,263856,11888,2008.0,,,"A fresh, urban twist on the classic tale of star-crossed lovers.When Brittany Ellis walks into chemistry class on the first day of senior year, she has no clue that her carefully created ""perfect"" lif",
That Boy,Jillian Dodd,"Romance, Young Adult, Contemporary",287.0,3.94,48195,3293,2011.0,,,"Fall in love with the boy next door in this sweet contemporary romance by USA Today Best Selling Author, Jillian Dodd.You know, being friends with two cute boys does have its benefits.There's Danny. D",
Graceling,Kristin Cashore,"Fantasy, Young Adult, Romance",471.0,4.06,482324,28741,2008.0,,,"Katsa has been able to kill a man with her bare hands since she was eight—she’s a Graceling, one of the rare people in her land born with an extreme skill. As niece of the king, she should be able to ",
Lola and the Boy Next Door,Stephanie Perkins,"Young Adult, Romance, Contemporary",338.0,3.89,167038,15625,2011.0,,,"Alternate Cove edition for ISBN 9780525423287Lola Nolan is a budding costume designer, and for her, the more outrageous, sparkly, and fun the outfit, the better. And everything is pretty perfect in he",
The Sweet Gum Tree,Katherine Allred,"Romance, Contemporary, Contemporary Romance",301.0,4.25,31528,3544,2005.0,,,"Sweet tea, corn bread, and soup beans—everyday fare for eight-year-old Alix French, the precocious darling of a respected southern family. But nothing was ordinary about the day she met ten-year-old N",
Hopeless,Colleen Hoover,"Romance, Colleen Hoover, New Adult",410.0,4.22,692550,45844,2012.0,,,Sometimes discovering the truth can leave you more hopeless than believing the lies…That’s what seventeen-year-old Sky realizes after she meets Dean Holder. A guy with a reputation that rivals her own,
The Secret of Ella and Micha,Jessica Sorensen,"Romance, New Adult, Contemporary",313.0,3.99,71513,3404,2012.0,,,Ella and Micha have been best friends since they were kids. But one tragic night shatters their friendship and their lives forever.Ella used to be a rule-breaker with fiery attitude who wore her heart,
Playing for Keeps,R.L. Mathewson,"Romance, Contemporary, Contemporary Romance",330.0,4.02,116150,6179,2011.0,,,"Done with being the world's biggest pushover, Haley decides that things are going to change starting with the aggravating neighbor who has too much charm and not enough restraint. What she didn't expe",
It's Not Summer Without You,Jenny Han,"Romance, Young Adult, Contemporary",277.0,3.74,742484,50729,2010.0,,,"No ano passado, todos os sonhos de Belly se tornaram realidade e o pensamento de um verão sem a praia de Cousins ​​era inconcebível. Mas, como a ascensão e queda da maré do oceano, as coisas podem mud",
The Body Finder,Kimberly Derting,"Young Adult, Paranormal, Mystery",327.0,3.94,54019,4091,2010.0,,,"Violet Ambrose is grappling with two major issues: Jay Heaton and her morbid secret ability. While the sixteen-year-old is confused by her new feelings for her best friend since childhood, she is more",
Her Best Friend's Brother,T.J. Dell,"Romance, Young Adult, Contemporary",256.0,3.55,10651,478,2011.0,,,Libby has been in love with Tony Marchetti since she was seven years old. The problem? Tony is her best friend's older brother. Lately Tony has started looking at her in a new way and he emails her al,
Always You,Kirsty Moseley,"Romance, Young Adult, Friends To Lovers",329.0,3.89,21726,1321,2012.0,,,"Clay Preston is the most desirable guy in school, and boy does he know it! Movie star looks paired with a quarterback’s body, he’s every girl’s dream guy–but not mine. To me, he’s simply my best frien",
Emma,Jane Austen,"Classics, Fiction, Romance",474.0,4.05,1001517,44501,1815.0,,,"The newest edition is here. Another alternate cover can be found here.Emma Woodhouse is one of Austen's most captivating and vivid characters. Beautiful, spoilt, vain and irrepressibly witty, Emma org",
The Host,Stephenie Meyer,"Fantasy, Young Adult, Science Fiction",619.0,3.86,1053614,45559,2008.0,,,"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. Wanderer, the invading ""soul"" who has been give",
Wallbanger,Alice Clayton,"Romance, Contemporary, Contemporary Romance",384.0,3.97,212276,15773,2012.0,,,"The first night after Caroline moves into her fantastic new San Francisco apartment, she realizes she's gaining an intimate knowledge of her new neighbor's nocturnal adventures. Thanks to paper-thin w",
Along for the Ride,Sarah Dessen,"Young Adult, Romance, Contemporary",383.0,4.03,212644,9128,2009.0,,,It’s been so long since Auden slept at night. Ever since her parents’ divorce—or since the fighting started. Now she has the chance to spend a carefree summer with her dad and his new family in the ch,
The Marriage Bargain,Jennifer Probst,"Romance, Contemporary Romance, Contemporary",160.0,3.79,112178,4733,2010.0,,,"A marriage in name only…To save her family home, impulsive bookstore owner, Alexa Maria McKenzie, casts a love spell. But she never planned on conjuring up her best friend’s older brother—the powerful",
Heist Society,Ally Carter,"Young Adult, Mystery, Contemporary",287.0,3.91,95412,5687,2010.0,,,"When Katarina Bishop was three, her parents took her on a trip to the Louvre…to case it. For her seventh birthday, Katarina and her Uncle Eddie traveled to Austria…to steal the crown jewels. When Kat ",
Wait for You,J. Lynn,"Romance, New Adult, Contemporary",386.0,4.13,170248,10721,2013.0,,,Some things are worth waiting for…Traveling thousands of miles from home to enter college is the only way nineteen-year-old Avery Morgansten can escape what happened at the Halloween party five years ,
Harry Potter and the Half-Blood Prince,J.K. Rowling,"Fantasy, Fiction, Young Adult",652.0,4.58,3710467,72442,2005.0,,,"It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit fr",
The Bird Day Battalion,Genevieve Dewey,"Romance, Friends To Lovers, Contemporary",62.0,3.71,160,31,2012.0,,,"The Bird Day Battalion is a short, sweet and sexy little Thanksgiving story. Meet Katelyn Anderson, a play by the rules, temporarily out of work archaeologist desperate to pull off the perfect Thanksg",
Harry Potter and the Deathly Hallows,J.K. Rowling,"Fantasy, Fiction, Young Adult",759.0,4.62,4164390,101529,2007.0,,,"Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort's remaining Horcruxes. Never has Harry felt so alone, or faced a future so full ",
Anna and the French Kiss,Stephanie Perkins,"Romance, Young Adult, Contemporary",372.0,3.96,465993,36860,2010.0,,,"Anna is looking forward to her senior year in Atlanta, where she has a great job, a loyal best friend, and a crush on the verge of becoming more. Which is why she is less than thrilled about being shi",
Just One of the Guys,Kristan Higgins,"Romance, Contemporary Romance, Contemporary",384.0,3.92,19494,1511,2008.0,,,"Being one of the guys isn't all it's cracked up to be...So when journalist Chastity O'Neill returns to her hometown, she decides it's time to start working on some of those feminine wiles. Two tiny pr",
Frigid,J. Lynn,"Romance, New Adult, Contemporary",252.0,3.65,57924,5239,2013.0,,,"For twenty-one-year-old Sydney, being in love with Kyler isn't anything new. They'd been best friends ever since he pushed her down on the playground and she made him eat a mud pie. Somewhere over the",
The Boys Next Door,Jennifer Echols,"Young Adult, Romance, Contemporary",279.0,3.9,13980,483,2007.0,,,"Cute, available, and one cabin over....Lori lives for summertime on the lake. She spends all season wakeboarding, swimming, and hanging with her friends—including the two hotties in the house next doo",
The Mighty Storm,Samantha Towle,"Romance, Contemporary Romance, Contemporary",442.0,4.14,74437,3929,2012.0,,,"It's been twelve years since Tru Bennett last saw Jake Wethers, her former best friend and boy she once loved.Jake Wethers, sexy, tattooed and deliciously bad lead singer, and brains behind The Mighty",
What a Boy Wants,Nyrae Dawn,"Young Adult, Romance, Contemporary",248.0,3.52,10553,873,2012.0,,,"Courtesy of watching his mom’s relationships, Sebastian Hawkins knows what girls need to do to get a guy. He has what he considers a PHD in hooking up. When he needs extra cash for a car, Sebastian st",
Friend-Zoned,Belle Aurora,"Romance, Contemporary Romance, Contemporary",315.0,3.95,26590,2192,2013.0,,,Nikolai Leokov never thought he'd fall in love with the only girl he's ever befriended. Valentina Tomic has issues with commitment after the ultimate betrayal. When Tina decides to make broody Nik's d,
Flat-Out Love,Jessica Park,"Romance, Young Adult, New Adult",389.0,4.0,60370,5489,2011.0,,,"Flat-Out Love is a warm and witty novel of family love and dysfunction, deep heartache and raw vulnerability, with a bit of mystery and one whopping, knock-you-to-your-knees romance.It's not what you ",
It's Complicated,Camilla Isley,"Romance, Friends To Lovers, Fake Dating",274.0,3.8,8482,745,2024.0,,,"Lori has been in love with her best friend Aiden since college. Now Aiden (handsome, fair, All-American dream doctor) is getting married, and Lori desperately needs a date to the wedding. So she asks ",
Bully,Penelope Douglas,"Romance, New Adult, Enemies To Lovers",333.0,3.83,232882,17551,2013.0,,,"My name is Tate. He doesn't call me that, though. He would never refer to me so informally, if he referred to me at all. No, he'll barely even speak to me.But he still won't leave me alone.We were bes",
Tempting the Best Man,J. Lynn,"Romance, Contemporary, Contemporary Romance",172.0,3.66,37567,2456,2012.0,,,"Madison Daniels has worshiped her brother's best friend since they were kids. Everyone thinks she and Chase Gamble would make the perfect couple, but there are two major flaws in their logic. 1) Chase",
"Love, Rosie",Cecelia Ahern,"Romance, Chick Lit, Fiction",512.0,3.93,140759,12145,2004.0,,,"Rosie and Alex are destined for one another, and everyone seems to know it but them. Best friends since childhood, their relationship gets closer by the day, until Alex gets the news that his family i",
Forget You,Jennifer Echols,"Young Adult, Romance, Contemporary",292.0,3.78,26492,1344,2010.0,,,Why can't you choose what you forget ... and what you remember?There’s a lot Zoey would like to forget. Like how her father has knocked up his twenty-four-year old girlfriend. Like Zoey’s fear that th,
Just for Now,Abbi Glines,"Romance, New Adult, Contemporary",304.0,4.22,47132,2124,2012.0,,,The day Preston Drake figured out that wealthy women paid well for a set of tight abs and a pretty face his life turned around.The run down rat-infested trailer he had shared with his alcoholic mother,
Anne of the Island,L.M. Montgomery,"Classics, Fiction, Young Adult",243.0,4.29,197028,10102,1915.0,,,"This is an alternate cover edition for ISBN 9780553213171New adventures lie ahead as Anne Shirley packs her bags, waves good-bye to childhood, and heads for Redmond College. With her old friend Prissy",
When He Was Wicked,Julia Quinn,"Romance, Historical Romance, Historical",368.0,3.97,274834,19977,2004.0,,,"Everything was so much simpler... when he was wicked.In every life there is a turning point. A moment so tremendous, so sharp and breathtaking, that one knows one's life will never be the same. For Mi",
The Angel Experiment,James  Patterson,"Young Adult, Fantasy, Science Fiction",445.0,4.07,234191,10471,2005.0,,,"Fourteen-year-old Maximum Ride, better known as Max, knows what it's like to soar above the world. She and all the members of the ""flock""--Fang, Iggy, Nudge, Gasman and Angel--are just like ordinary k",
The Edge of Never,J.A. Redmerski,"Romance, New Adult, Contemporary",426.0,4.21,150239,11500,2012.0,,,"Twenty-year-old Camryn Bennett had always been one to think out-of-the-box, who knew she wanted something more in life than following the same repetitive patterns and growing old with the same repetit",
Something Blue,Emily Giffin,"Chick Lit, Romance, Fiction",338.0,3.94,233724,8230,2005.0,,,"Following the smash-hit Something Borrowed comes story of betrayal, redemption, and forgiveness Darcy Rhone has always been able to rely on a few things: Her beauty and charm. Her fiance, Dex. Her lif",
Endless Summer,Jennifer Echols,"Young Adult, Romance, Contemporary",587.0,4.0,19998,699,2010.0,,,Two irresistible boys. One unforgettable summer.  Lori can’t wait for her summer at the lake. She loves wakeboarding and hanging with her friends—including the two hotties next door. With the Vader br,
Before Jamaica Lane,Samantha Young,"Romance, Friends To Lovers, Contemporary Romance",310.0,4.26,47637,3524,2014.0,,,"Despite her outgoing demeanor, Olivia is painfully insecure around the opposite sex—usually, she can’t get up the nerve to approach guys she’s interested in. But moving to Edinburgh has given her a ne",
The Battle of the Labyrinth,Rick Riordan,"Fantasy, Young Adult, Mythology",368.0,4.42,1238978,43341,2008.0,,,"Percy isn't expecting his freshman orientation to be any fun. But when a mysterious acquaintance reappears, followed by demon cheerleaders, things quickly move from bad to worse. In this fourth instal",
Mansfield Park,Jane Austen,"Classics, Fiction, Romance",488.0,3.86,384435,18895,1814.0,,,"Taken from the poverty of her parents' home in Portsmouth, Fanny Price is brought up with her rich cousins at Mansfield Park, acutely aware of her humble rank and with her cousin Edmund as her sole al",
Sweet Sofie,Elizabeth Reyes,"Romance, New Adult, Young Adult",223.0,3.88,7854,283,2011.0,,,"Her entire life Sofia Moreno has dealt with her overprotective brothers. With three overbearing brothers always lurking, no boy would dare reach out to her. Luckily for Sofia the one boy she's got her",
Love Story,Jennifer Echols,"Young Adult, Romance, Contemporary",243.0,3.61,13378,1086,2011.0,,,"She's writing about him. He's writing about her. And everybody is reading between the lines..
For Erin Blackwell, majoring in creative writing at the New York City college of her dreams is more than a",
Savor the Moment,Nora Roberts,"Romance, Contemporary Romance, Contemporary",9.0,4.15,62177,2419,2010.0,,,"Wedding baker Laurel McBane is surrounded by romance working at Vows wedding planning company with her best friends Parker, Emma, and Mac. But she's too low-key to appreciate all the luxuries that the",
Sophie & Carter,Chelsea Fine,"Young Adult, Romance, Contemporary",117.0,3.82,13634,768,2011.0,,,"** This is a novella **While other high school seniors are dreaming about their futures, Sophie and Carter are just trying to make it through each day. Carter is overwhelmed by issues at home as he st",
Leaving Paradise,Simone Elkeles,"Young Adult, Romance, Contemporary",312.0,3.99,44204,2525,2007.0,,,"Nothing has been the same since Caleb Becker left a party drunk, got behind the wheel, and hit Maggie Armstrong. Even after months of painful physical therapy, Maggie walks with a limp. Her social lif",
We'll Always Have Summer,Jenny Han,"Romance, Young Adult, Contemporary",291.0,3.77,680793,60574,2011.0,,,"It's been two years since Conrad told Belly to go with Jeremiah. She and Jeremiah have been inseparable ever since, even attending the same college—only, their relationship hasn't exactly been the hap",
Losing Hope,Colleen Hoover,"Romance, Colleen Hoover, New Adult",270.0,4.09,277517,16307,2013.0,,,"In the follow-up to Colleen Hoover’s #1 New York Times bestseller Hopeless, the charming and irresistible Dean Holder tells the passionate story that has melted thousands of hearts.In Hopeless, Sky le",
Her Best Friend,Sarah Mayberry,"Romance, Contemporary Romance, Friends To Lovers",320.0,3.57,1639,197,2010.0,,,What's a girl to do when she's secretly in love with a friend and he's married to someone else? She gets over it. That's what Amy Parker has done. Rather than lose her best bud Quinn Whitfield with an,
Wings,Aprilynne Pike,"Fantasy, Young Adult, Romance",290.0,3.76,83605,5463,2009.0,,,"Laurel was mesmerized, staring at the pale things with wide eyes. They were terrifyingly beautiful—too beautiful for words.Laurel turned to the mirror again, her eyes on the hovering petals that float",
Perfect You,Elizabeth Scott,"Young Adult, Romance, Contemporary",282.0,3.69,21963,950,2008.0,,,"Kate Brown's life has gone downhill fast.Her father has quit his job to sell vitamins at the mall, and Kate is forced to work with him. Her best friend has become popular, and now she acts like Kate's",
North of Beautiful,Justina Chen,"Young Adult, Romance, Contemporary",373.0,3.92,35833,2220,2009.0,,,"As he continued to stare, I wanted to point to my cheek and remind him, But you were the one who wanted this, remember? You're the one who asked-and I repeat- Why not fix your face?It's hard not to no",
Just Like Heaven,Julia Quinn,"Romance, Historical Romance, Historical",374.0,3.93,68007,4388,2011.0,,,"Honoria Smythe-Smith, the youngest daughter of the eldest son of the Earl of Winstead, plays the violin in the annual musicale performed by the Smythe-Smith quartet. She's well aware that they are dre",
A Girl Like You,Gemma Burgess,"Chick Lit, Romance, Contemporary",423.0,3.95,15055,794,2011.0,,,"I've discovered the secret to successful singledom. I'm acting like a man. And it's working.After breaking up with her boyfriend of, well, forever, Abigail Wood must learn how to be single from scratc",
Flipped,Wendelin Van Draanen,"Young Adult, Romance, Fiction",212.0,4.0,128062,11320,2001.0,,,"Flipped is a romance told in two voices. The first time Juli Baker saw Bryce Loski, she flipped. The first time Bryce saw Juli, he ran. That's pretty much the pattern for these two neighbors until the",
Dear John,Nicholas Sparks,"Romance, Fiction, Chick Lit",276.0,4.04,620755,13701,2006.0,,,"An angry rebel, John dropped out of school and enlisted in the Army, not knowing what else to do with his life--until he meets the girl of his dreams, Savannah. Their mutual attraction quickly grows i",
Present Perfect,Alison G. Bailey,"New Adult, Romance, Contemporary",422.0,4.01,15009,2175,2013.0,,,"He was my first friend, my best friend, and my first love. Noah Stewart was my everything. Standing tall with his dark handsome features, he was as beautiful on the inside as he was on the outside. No",
One Day,David Nicholls,"Romance, Fiction, Contemporary",435.0,3.88,415305,30779,2009.0,,,15th July 1988: Emma and Dexter meet for the first time on the night of their graduation. Tomorrow they must go their separate ways.So where will they be on this one day next year? And the year after ,
The Fault in Our Stars,John  Green,"Young Adult, Romance, Fiction",313.0,4.12,5794584,189204,2012.0,,,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist name",
Uncommon Criminals,Ally Carter,"Young Adult, Mystery, Contemporary",298.0,4.12,44402,2483,2011.0,,,Katarina Bishop has worn a lot of labels in her short life. Friend. Niece. Daughter. Thief. But for the last two months she’s simply been known as the girl who ran the crew that robbed the greatest mu,
Losing It,Cora Carmack,"Romance, New Adult, Contemporary",189.0,3.71,109863,7784,2012.0,,,"Sick of being the only virgin among her friends, Bliss Edwards decides the best way to deal with the problem is to lose it as quickly and simply as possible - a one-night stand. But her plan turns out",
Maybe Someday,Colleen Hoover,"Romance, New Adult, Colleen Hoover",385.0,3.96,670982,43164,2014.0,,,"Contains exclusive content: songs from Griffin Peterson Sydney is living in an idyllic bubble—she's a dedicated student with a steady job on the side. She lives with her best friend, has a great boyfr",
Never Let Me Go,Kazuo Ishiguro,"Fiction, Science Fiction, Dystopia",288.0,3.85,880882,76080,2005.0,,,"As a child, Kathy – now thirty-one years old – lived at Hailsham, a private school in the scenic English countryside where the children were sheltered from the outside world, brought up to believe tha",
The Summer I Turned Pretty,Jenny Han,"Romance, Young Adult, Contemporary",276.0,3.73,1157503,92757,2009.0,,,"Every year Isabel spends a perfect summer at her family friends' house. There's the swimming pool at night, the private stretch of sandy beach... and the two boys. Unavailable, aloof Conrad - who she'",
Without MAlice,Amesbury Clarke,"Mental Health, Romance, Young Adult",313.0,4.02,370,31,2022.0,,,"We need to first feel the rain, in order to appreciate the sun.A touching and suspenseful tale of love, loss and resilience. Without MAlice follows Alice, a kind-hearted young woman haunted by past tr",
Let's Be Just Friends,Camilla Isley,"Romance, New Adult, Chick Lit",201.0,3.32,2461,299,2016.0,,,"Rose Atwood has been in love with her best friend for years, and she’s tired of keeping her feelings under wraps for fear of getting hurt. Being Tyler’s best friend is becoming more difficult with eve",
Epic Fail,Claire LaZebnik,"Young Adult, Romance, Contemporary",295.0,3.72,33916,2347,2011.0,,,"At Coral Tree Prep in Los Angeles, who your parents are can make or break you. Case in point:- As the son of Hollywood royalty, Derek Edwards is pretty much prince of the school--not that he deigns to",
Airhead,Meg Cabot,"Young Adult, Romance, Chick Lit",337.0,3.77,40052,2281,2008.0,,,Em Watts is not herself. Literally.She never wanted to go to the grand opening of the new Stark Megastore store. That was her sister Frida’s idea. But that day changed her life. In an attempt to save ,
Fangirl,Rainbow Rowell,"Young Adult, Romance, Contemporary",483.0,3.93,785205,60336,2013.0,,,"A coming-of-age tale of fanfiction, family, and first love.Cath is a Simon Snow fan. Okay, the whole world is a Simon Snow fan.... But for Cath, being a fan is her life—and she's really good at it. Sh",
Unleashed,Cherrie Lynn,"Romance, Contemporary Romance, Contemporary",212.0,3.87,31359,1182,2009.0,,,"One week in paradise will make or break them…It’s not enough that Kelsey’s husband left her for another woman. Oh, no. The “other woman” had to be her best friend Evan’s fiancée. Not only has she lost",
Beautiful Disaster,Jamie McGuire,"Romance, New Adult, Contemporary",432.0,4.0,710182,35686,2011.0,,,"The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past,",
How to Be Popular,Meg Cabot,"Young Adult, Romance, Contemporary",288.0,3.55,21833,1056,2006.0,,,"Do you want to be popular? Everyone wants to be popular or at least, Stephanie Landry does. Steph's been the least popular girl in her class since a certain cherry Super Big Gulp catastrophe five year",
Beautiful Creatures,Kami Garcia,"Fantasy, Young Adult, Romance",563.0,3.78,623548,23615,2009.0,,,"Lena Duchannes is unlike anyone the small Southern town of Gatlin has ever seen, and she's struggling to conceal her power, and a curse that has haunted her family for generations. But even within the",
Callum & Harper,Fisher Amelie,"Romance, New Adult, Young Adult",256.0,3.91,12713,1044,2011.0,,,Life sucks for orphans Callum Tate and Harper Bailey. Kicked out of their foster homes because they suffer the 'eighteen disease' with nothing but a hundred dollar check from the government and a pat ,
Friend Zone,Camilla Isley,"Romance, New Adult, Chick Lit",279.0,3.23,1793,200,2018.0,,,"Alice Brown fell in love with Jack the day she moved into her freshman dorm. Problem is, she’s been stuck in the friend zone ever since. After another meaningless breakup, she’s ready to confess her f",
The Future of Us,Jay Asher,"Young Adult, Romance, Fiction",356.0,3.56,48778,6070,2011.0,,,"It's 1996, and Josh and Emma have been neighbors their whole lives. They've been best friends almost as long—at least, up until last November, when Josh did something that changed everything. Things h",
The Future of Our Past,Kahlen Aymes,"Romance, New Adult, Contemporary Romance",336.0,3.96,5399,624,2012.0,,,**New Adult/Contemporary Romance Series.***Julia Abbot and Ryan Matthews have been inseparable best friends since the moment they met. Each of them fight an internal battle unwilling to risk their inc,
13 Little Blue Envelopes,Maureen Johnson,"Young Adult, Contemporary, Romance",336.0,3.63,83886,5426,2005.0,,,"When Ginny receives thirteen little blue envelopes and instructions to buy a plane ticket to London, she knows something exciting is going to happen. What Ginny doesn't know is that she will have the ",
Saving Face,T.J. Dell,"Young Adult, Romance, Contemporary",157.0,3.62,1320,51,2011.0,,,"Alyssa is all set for the perfect senior year. She's head cheerleader, she's dating the captain of the football team, and every girl in school wishes they were her. That is until she catches her boyfr",
Shadowland,Jenny Carroll,"Young Adult, Fantasy, Paranormal",287.0,4.04,71509,3049,2000.0,,,"Suze is a mediator -- a liaison between the living and the dead. In other words, she sees dead people. And they won't leave her alone until she helps them resolve their unfinished business with the li",
Anything for You,Sarah Mayberry,"Romance, Contemporary Romance, Friends To Lovers",256.0,3.72,1406,109,2006.0,,,"The world according to Sam Kirk has just turned upside down. His best friend and business partner, Delaney Michaels, has returned from vacation a new woman…a gorgeous, hot new woman. Suddenly Sam is t",
Seduce Me at Sunrise,Lisa Kleypas,"Historical Romance, Romance, Historical",360.0,4.04,48594,3224,2008.0,,,"He'd tried so hard to forget her.
Kev Merripen has longed for the beautiful, well-bred Winnifred Hathaway ever since her family rescued him from the brink of death when he was just a boy. But this han",
The Friend Zone,Kristen Callihan,"Romance, Sports, New Adult",309.0,4.09,48077,3379,2015.0,,,Gray doesn’t make friends with women. He has sex with them. Until Ivy. The last thing star tight-end Gray Grayson wants to do is drive his agent’s daughter’s bubblegum pink car. But he needs the wheel,
The Perks of Being a Wallflower,Stephen Chbosky,"Young Adult, Fiction, Contemporary",213.0,4.24,2031710,110822,1999.0,,,standing on the fringes of life...offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor.This haunting novel about the dilemma of passivity vs. passion marks,
Mine to Possess,Nalini Singh,"Paranormal Romance, Romance, Paranormal",328.0,4.06,33563,1946,2008.0,,,"Nalini Singh pulls away another dark layer of sheer desire, revealing passions unknown, in her latest novel about the world of the Psy. A ghost returns from a leopard changeling’s past, making him que",
Better Off Friends,Elizabeth Eulberg,"Romance, Young Adult, Contemporary",288.0,3.86,33718,4125,2014.0,,,"For Macallan and Levi, it was friends at first sight. Everyone says guys and girls can’t be just friends, but these two are. They hang out after school, share tons of inside jokes, their families are ",
Back to You,Priscilla Glenn,"Romance, Contemporary, Contemporary Romance",328.0,4.0,16324,1391,2012.0,,,"When Lauren Monroe first laid eyes on Michael Delaney back in high school, she had every reason to stay away from him; within minutes of their first encounter, his volatile actions confirmed his notor",
Reasons I Fell for the Funny Fat Friend,Cassie Mae,"Young Adult, Romance, Contemporary",203.0,3.93,7686,878,2013.0,,,"Newer edition found hereIt’s stupid to fall for your brother’s ex. It’s even worse to enlist another’s help to win the ex over. But Brody is desperate and Hayley, his partner in American Sign Language",
Second Kiss,Natalie Palmer,"Young Adult, Romance, Contemporary",237.0,3.86,6885,279,2010.0,,,'Even my most humiliating moments seemed funny somehow when I told them to Jess.' Gemma Mitchell is a normal girl who somehow gets herself into abnormally embarrassing circumstances. And while she thi,
Own the Wind,Kristen Ashley,"Romance, Contemporary Romance, Contemporary",433.0,4.18,50012,3510,2013.0,,,"Too hot to handle...Tabitha Allen grew up in the thick of Chaos—the Chaos Motorcycle Club, that is. Her father is Chaos' leader, and the club has always had her back. But one rider was different from ",
Summer Sunsets,Maria Rachel Hooley,"Young Adult, Romance, Contemporary",237.0,3.79,972,72,2011.0,,,"In October Breezes, Devin Abbott almost lost the one person who mattered most—Skye Williams. Following a rape and an abortion she'd never counted on, she'd believed suicide the only answer, yet Devin ",
Bobby's Girl,Bernie Morris,Romance,232.0,4.56,82,8,2000.0,,,"A tragic and evocative tale, set in the heyday of rock 'n roll.In Bernie Morris's haunting novel of adolescent love, set in the golden years of rock 'n roll, lies London East End's response to 'West S",
Tommy Sullivan Is a Freak,Meg Cabot,"Young Adult, Romance, Chick Lit",249.0,3.65,18203,807,2007.0,,,"Why everyone LOVES Katie Ellison
 She's top of the class, she parties with the A-list she's bursting with talent - and she's got the kind of boyfriend any girl would kill to get their hands on. 
Why e",
Saving June,Hannah Harrington,"Young Adult, Contemporary, Romance",336.0,3.96,17382,1524,2011.0,,,"‘If she’d waited less than two weeks, she’d be June who died in June. But I guess my sister didn’t consider that.’Harper Scott’s older sister has always been the perfect one — so when June takes her o",
Vampire Academy,Richelle Mead,"Fantasy, Young Adult, Vampires",332.0,4.1,684365,28506,2007.0,,,Only a true best friend can protect you from your immortal enemies...Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at al,
"Sincerely, Carter",Whitney G.,"Romance, Friends To Lovers, New Adult",246.0,3.99,37456,3658,2015.0,,,"Just friends.We’re just friends.No, really. She’s just my best friend... Arizona Turner has been my best friend since fourth grade, even when we “hated” each other. We’ve been there for one another th",
Find Me,Shelley K. Wall,,278.0,3.38,8,1,2014.0,,,"Amanda Gillespie never bargained on seeing Jackson Holstenar ever again. In law school, he was the sexy, rich guy every girl wanted—even her. But they never quite got past the friend zone, and their c",
Crazy For You,Jennifer Crusie,"Romance, Chick Lit, Contemporary Romance",336.0,3.8,18261,706,1999.0,,,"Quinn McKenzie has always lived what she calls a ""beige"" life. She's dating the world's nicest guy, she has a good job as a high school art teacher, she's surrounded by family and friends who rely on ",
Counterbalance,Kelly Moran,"Romance, Contemporary Romance, Friends To Lovers",254.0,3.84,869,195,2017.0,,,"A beauty & the geek story, billionaire style.The world might think billionaire Xavier Gaines has it all, but he’s got a big problem. His successful software company is about to sign a government contr",
